,cataidGAMA,gama_z,logMstarGAMA,dellogm,neff
73,5100517,0.2068,10.2452,0.1038,79.68
74,5100518,0.2736,11.1602,0.0149,2.1
75,5100522,0.2585,10.8678,0.0498,5.26
76,5100523,0.1772,10.1791,0.0771,28.3
77,5100528,0.2695,11.4601,0.0434,3.43
78,5100530,0.0568,8.6651,0.1516,116.7
79,5100539,0.1778,10.2166,0.063,8.28
80,5100541,0.1779,9.8432,0.1007,6.99
81,5100552,0.4673,11.4847,0.0198,1.42
82,5100554,0.1261,10.2504,0.0779,2.06
83,5100567,0.298,10.7331,0.0746,56.59
84,5100568,0.2978,10.8603,0.0664,5.68
85,5100590,0.0275,9.9247,0.0023,1.0
86,5100591,0.0566,9.6958,0.0062,1.12
87,5100592,0.2703,10.5476,0.0793,33.56
88,5100602,0.2722,10.4637,0.0884,27.21
89,5100614,0.2734,10.5387,0.0822,7.37
90,5100621,0.3342,10.6708,0.0744,42.55
91,5100622,0.3542,11.1098,0.0382,11.4
92,5100624,0.1244,9.6534,0.1816,11.25
93,5100627,0.2168,10.3312,0.0705,48.54
94,5100630,0.1179,10.5372,0.0583,2.94
95,5100631,0.2165,9.5717,0.1164,105.02
96,5100640,0.1246,10.2663,0.0052,1.05
97,5100648,0.0569,9.2619,0.1389,9.93
98,5100649,0.2984,10.793,0.0391,3.44
99,5100651,0.1789,10.1245,0.0686,21.93
100,5100665,0.4626,11.2395,0.0442,4.45
101,5100682,0.3556,,,
102,5100685,0.1776,10.2143,0.0815,31.03
103,5100691,0.0561,8.7338,0.1671,22.22
104,5100692,0.3086,10.9567,0.0568,3.01
105,5100695,0.1896,10.1586,0.0338,1.07
106,5100696,0.18,,,
107,5100701,0.2065,10.0993,0.112,36.92
108,5100707,0.1793,9.8325,0.1054,196.02
109,5100724,0.1577,11.0679,0.015,1.18
110,5100727,0.1259,9.9841,0.0868,7.24
111,5100729,0.0271,8.2603,0.0361,1.06
112,5100745,0.2731,10.909,0.0427,2.09
113,5100750,0.1258,9.2816,0.1127,155.15
114,5100775,0.1561,10.7985,0.0419,4.76
115,5100785,0.1961,10.1233,0.1086,85.27
116,5100797,0.0567,9.4568,0.0481,3.81
117,5100803,0.3344,10.8299,0.0608,3.44
118,5100806,0.1268,9.7128,0.1342,49.69
119,5100813,0.333,10.9258,0.0448,3.87
120,5100816,0.3082,10.8162,0.0547,10.11
121,5100818,0.1898,9.872,0.1034,62.8
122,5100823,0.427,10.859,0.0729,14.23
123,5100836,0.1573,10.8359,0.0378,1.78
124,5100838,0.2063,10.3669,0.0526,6.74
125,5100843,0.1775,10.5858,0.0312,3.61
126,5100845,0.3061,10.9308,0.0311,4.3
127,5100853,0.156,10.6647,0.0475,2.52
128,5100867,0.1568,10.0274,0.0726,34.0
129,5100882,0.0552,9.1239,0.1126,19.22
130,5100884,0.2067,10.4332,0.0704,29.83
131,5100907,0.1129,9.0879,0.1046,188.12
132,5100934,0.166,9.7411,0.1078,122.6
133,5100941,0.1239,9.7876,0.093,29.81
134,5100943,0.3325,10.7619,0.0688,5.94
135,5100959,0.2055,10.749,0.0671,9.31
136,5100968,0.1135,9.7372,0.1808,7.84
137,5100972,0.3056,10.6487,0.07,17.13
138,5100977,0.3054,11.0005,0.071,11.21
139,5100978,0.177,9.6124,0.0637,1.02
140,5100988,0.1186,9.4847,0.1254,83.88
141,5100998,0.0577,9.0766,0.1173,11.27
142,5101001,0.1236,10.6945,0.0214,3.05
143,5101016,0.1229,9.8487,0.0986,11.79
144,5101018,0.1715,10.058,0.2549,3.87
145,5101020,0.2691,10.3915,0.1002,93.77
146,5101033,0.3068,10.8749,0.0668,34.12
147,5101036,0.0573,8.9696,0.0973,34.45
148,5101043,0.0883,10.3918,0.0198,1.95
149,5101044,0.0556,9.1493,0.1646,4.9
150,5101046,0.0556,10.2492,0.0576,2.1
151,5101055,0.1163,10.3235,0.0135,1.04
152,5101056,0.111,10.4794,0.027,1.53
153,5101062,0.292,10.772,0.0481,3.2
154,5101084,0.3636,10.8611,0.0565,51.17
155,5101089,0.0878,9.2366,0.0122,1.38
156,5101115,0.157,11.0566,0.0396,1.55
157,5101120,0.2968,11.0456,0.0484,4.05
158,5101123,0.1257,10.9665,0.0,1.0
159,5101129,0.2709,10.5144,0.057,13.32
160,5101130,0.1264,9.3771,0.1346,1.04
161,5101132,0.126,10.2897,0.036,1.94
162,5101136,0.1263,10.753,0.0016,1.0
163,5101144,0.3786,11.3084,0.0547,3.23
164,5101148,0.1245,9.5078,0.1592,19.03
165,5101153,0.1706,10.3624,0.2069,6.0
166,5101155,0.3057,10.679,0.0549,5.73
167,5101157,0.4364,11.2254,0.0,1.0
168,5101160,0.0884,10.4074,0.0206,2.01
169,5101162,0.2708,10.6885,0.1029,10.6
170,5101170,0.1256,9.6369,0.2031,12.03
171,5101183,0.2582,10.4299,0.1554,14.32
172,5101187,0.0393,8.4022,0.1323,75.32
173,5101195,0.1566,9.6937,0.1043,198.14
174,5101200,0.25,10.1511,0.1184,91.85
175,5101201,0.111,10.884,0.0368,1.06
176,5101204,0.1239,11.3237,0.0002,1.0
177,5101205,0.1242,10.3994,0.0239,2.03
178,5101207,0.2708,11.2381,0.0175,2.38
179,5101214,0.209,10.5058,0.0772,20.82
180,5101215,0.1026,9.7726,0.1133,7.71
181,5101216,0.0396,8.5361,0.1102,9.77
182,5101222,0.1243,9.9924,0.1434,2.09
183,5101230,0.1774,9.7376,0.101,210.17
184,5101232,0.1118,10.2868,0.04,4.7
185,5101236,0.1569,10.2435,0.086,1.51
186,5101241,0.0566,8.7266,0.1689,52.76
187,5101244,0.1236,9.7045,0.152,26.8
188,5101246,0.1239,10.1924,0.0583,3.98
189,5101253,0.1579,10.0852,0.0674,4.54
190,5101257,0.1255,9.9656,0.2851,3.27
191,5101265,0.049,10.5521,0.0888,1.88
192,5101267,0.1563,10.27,0.0969,7.37
193,5101269,0.126,10.2039,0.1104,3.66
194,5101270,0.3852,11.2271,0.0598,1.92
195,5101275,0.2697,10.5011,0.1271,23.15
196,5101283,0.1698,10.0908,0.0991,83.99
197,5101290,0.1953,10.07,0.0737,105.91
198,5101292,0.0568,9.8414,0.0029,1.0
199,5101294,0.2786,10.8324,0.1081,3.05
200,5101301,0.0614,9.0738,0.0879,44.74
201,5101305,0.125,10.355,0.0577,4.83
202,5101315,0.2689,10.5423,0.0912,34.92
203,5101317,0.2581,10.1758,0.1031,127.54
204,5101319,1.7943,,,
205,5101323,0.2704,10.8036,0.0491,5.08
206,5101325,0.0765,9.1037,0.1063,6.72
207,5101326,0.2771,11.05,0.049,10.93
208,5101327,0.1776,10.6321,0.0983,3.14
209,5101330,0.2774,10.5625,0.0801,46.89
210,5101332,0.1259,11.0025,0.0176,1.13
211,5101347,0.1263,9.9151,0.0987,6.06
212,5101362,0.1259,10.4602,0.0291,3.57
213,5101364,0.2352,10.139,0.0943,41.15
214,5101366,0.1251,9.6115,0.1323,1.73
215,5101367,0.2735,10.9715,0.0559,7.41
216,5101380,0.2788,10.5267,0.073,59.15
217,5101389,0.2492,10.3109,0.2242,20.49
218,5101394,0.1964,10.1459,0.1197,18.45
219,5101397,0.1121,9.7546,0.1053,18.92
220,5101405,0.2781,11.1664,0.0226,3.95
221,5101415,0.3098,10.8385,0.0622,4.46
222,5101427,0.3993,11.0252,0.0409,4.49
223,5101435,0.4243,11.1892,0.0628,5.91
224,5101439,0.1788,10.3885,0.111,1.17
225,5101444,0.3351,10.8278,0.1437,2.02
226,5101456,0.1427,10.6214,0.0517,1.8
227,5101459,0.2692,10.7543,0.0714,23.45
228,5101472,0.4882,11.4658,0.0348,4.39
229,5101475,0.1828,10.7818,0.0108,1.04
230,5101476,0.1956,9.7437,0.0994,229.3
231,5101480,0.2698,10.1981,0.0813,149.92
232,5101481,0.0546,9.9634,0.0144,1.11
233,5101485,0.3652,10.9634,0.0188,1.26
234,5101496,0.1033,9.7901,0.1295,14.33
235,5101500,0.1824,10.1077,0.0842,30.46
236,5101501,0.3644,11.1289,0.0458,8.43
237,5101502,0.2306,10.4177,0.0851,40.0
238,5101512,0.4872,11.338,0.0233,2.3
239,5101520,0.4217,11.1854,0.0448,3.08
240,5101535,0.1772,9.7642,0.0915,163.13
241,5101538,0.1239,9.4177,0.1008,200.56
242,5101542,0.3551,10.8251,0.0626,27.46
243,5101549,0.2695,10.8147,0.0642,12.28
244,5101552,0.1768,10.3897,0.0611,5.29
245,5101560,0.1772,10.928,0.0095,1.09
246,5101562,0.1817,9.7367,0.1018,142.2
247,5101564,0.3638,11.0688,0.0364,6.54
248,5101566,0.3638,11.0253,0.0989,6.02
249,5101575,0.1962,10.1739,0.0953,49.76
250,5101580,0.2733,11.1041,0.0404,2.49
251,5101588,0.1502,10.0146,0.0711,17.6
252,5101589,0.2661,9.9966,0.0852,22.41
253,5101594,0.3649,10.9419,0.0616,6.63
254,5101618,0.1249,10.4034,0.0135,1.13
255,5101638,0.1698,9.8328,0.0955,76.6
256,5101639,0.2986,10.6437,0.0515,8.04
257,5101641,0.0564,10.237,0.0009,1.0
258,5101645,0.1426,9.9266,0.0954,38.47
259,5101664,0.3643,11.0512,0.0394,12.91
260,5101672,0.3456,10.7714,0.0687,10.62
261,5101675,0.2683,10.6364,0.1242,3.32
262,5101677,0.3852,10.7301,0.0603,22.6
263,5101678,0.1216,9.474,0.1081,70.19
264,5101688,0.4776,10.9017,0.2421,21.52
265,5101689,0.3107,10.8233,0.0589,20.55
266,5101702,0.1968,10.1433,0.1337,2.24
267,5101708,0.2494,10.1682,0.239,7.54
268,5101716,0.2592,10.0619,0.0896,146.71
269,5101718,0.1248,9.7558,0.0956,60.76
270,5101720,0.2708,10.512,0.0939,60.54
271,5101724,0.1819,9.7543,0.101,249.61
272,5101729,0.2682,10.5365,0.1268,8.51
273,5101733,0.4193,10.9122,0.0537,19.32
274,5101750,0.1202,9.8445,0.0953,12.55
275,5101765,0.2752,10.1699,0.085,122.46
276,5101769,0.2309,10.6106,0.0487,8.8
277,5101775,0.1563,10.2634,0.083,8.53
278,5101779,0.1794,9.8431,0.1132,59.11
279,5101782,0.2752,10.8215,0.0607,19.38
280,5101786,0.4695,11.2544,0.0776,10.17
281,5101787,0.4201,11.2471,0.0427,5.75
282,5101792,0.1845,9.5896,0.115,11.26
283,5101793,0.2754,10.8653,0.042,1.36
284,5101802,0.2281,9.9956,0.0901,73.35
285,5101805,0.2972,11.2858,0.0644,1.17
286,5101835,0.2306,10.4178,0.0584,16.38
287,5101850,0.2987,10.4813,0.0728,34.82
288,5101854,0.3281,11.1079,0.0611,12.44
289,5101855,0.1196,10.3322,0.0478,1.78
290,5101869,0.3862,10.4871,0.0809,47.58
291,5101879,0.3077,10.2577,0.0831,84.85
292,5101880,0.3217,10.7127,0.0907,39.73
293,5101882,0.1554,10.1751,0.0935,22.01
294,5101883,0.17,9.6879,0.0994,215.76
295,5101892,0.0418,8.5076,0.1208,56.75
296,5101925,0.2777,9.9518,0.1365,13.31
297,5101930,0.2746,10.7833,0.0524,8.61
298,5101931,0.3281,10.8634,0.0516,14.81
299,5101932,0.1775,10.3525,0.3115,2.26
300,5101934,0.2686,10.8396,0.0271,3.13
301,5101935,0.1827,10.8573,0.0465,2.79
302,5101946,0.1567,10.3797,0.0685,5.89
303,5101959,0.3551,10.9104,0.0602,3.02
304,5101963,0.2753,10.5989,0.0987,11.62
305,5101964,0.2777,11.2079,0.023,2.31
306,5101967,0.2664,10.5573,0.1265,3.68
307,5101975,1.557,,,
308,5101980,0.1261,9.3875,0.1016,346.1
309,5101984,0.2768,10.6822,0.083,29.19
310,5101999,0.1763,11.1304,0.0071,1.02
311,5102018,0.2718,9.6679,0.1169,51.04
312,5102026,0.0627,9.9728,0.0212,1.04
313,5102031,0.2787,10.7111,0.0621,13.22
314,5102037,0.1768,10.7996,0.0431,2.88
315,5102038,0.2797,10.8105,0.073,37.47
316,5102046,0.1784,10.322,0.1089,9.05
317,5102047,0.1775,11.1919,0.0184,1.52
318,5102051,0.298,10.9225,0.0568,10.43
319,5102060,0.2747,10.6801,0.0912,14.63
320,5102061,0.178,10.3312,0.0511,2.64
321,5102065,0.2789,11.1032,0.0349,4.63
322,5102067,0.2123,10.7074,0.0442,2.81
323,5102085,0.1756,10.6235,0.0339,1.56
324,5102090,0.1661,10.2145,0.0681,5.08
325,5102095,0.1791,10.0077,0.0981,21.26
326,5102098,0.1772,10.3453,0.0523,11.94
327,5102100,0.1769,9.6563,0.1033,247.43
328,5102108,0.1556,10.4258,0.0429,3.66
329,5102113,0.3194,10.6333,0.0744,57.04
330,5102122,0.104,9.2003,0.0995,156.18
331,5102128,0.1426,9.5535,0.1128,138.52
332,5102170,0.1028,10.269,0.0208,1.95
333,5102185,0.1975,9.9535,0.092,146.89
334,5102187,0.1804,10.0516,0.0762,11.47
335,5102217,0.2685,10.9421,0.0368,6.11
336,5102223,0.2715,10.5626,0.0842,31.09
337,5102229,0.274,10.6345,0.0647,13.16
338,5102232,0.2982,10.9469,0.0648,9.56
339,5102246,0.0273,10.1162,0.0,1.0
340,5102253,0.2779,10.3402,0.0727,95.75
341,5102256,0.2786,10.3614,0.073,80.39
342,5102259,0.2685,11.5192,0.0097,1.0
343,5102274,0.0574,9.4497,0.054,2.3
344,5102296,0.0785,9.0487,0.1016,127.58
345,5102297,0.3147,10.635,0.0766,21.63
346,5102305,0.3144,10.6721,0.0785,92.08
347,5102308,0.0767,8.815,0.1141,165.86
348,5102322,0.2099,10.4049,0.0844,16.54
349,5102328,0.2124,9.8803,0.0953,184.93
350,5102337,0.1257,10.648,0.0214,1.74
351,5102342,0.0771,8.9944,0.124,247.76
352,5102352,0.2696,10.5921,0.0784,18.65
353,5102360,0.0943,10.199,0.0333,2.68
354,5102364,0.2677,10.501,0.0745,18.98
355,5102381,0.1028,10.4225,0.0203,1.52
356,5102397,0.0882,9.1793,0.1133,70.73
357,5102422,0.1112,10.5399,0.0055,1.01
358,5102424,0.0867,9.2642,0.0907,85.77
359,5102436,0.1801,10.1781,0.0894,58.76
360,5102440,0.3224,11.0683,0.0519,20.3
361,5102458,0.278,10.7731,0.0539,16.48
362,5102466,0.1805,10.871,0.0057,1.01
363,5102473,0.1118,10.2469,0.0465,4.03
364,5102474,0.3115,10.8314,0.0534,11.33
365,5102485,0.3269,10.9094,0.0507,40.44
366,5102486,0.1221,9.5758,0.0895,25.1
367,5102496,0.3261,11.1209,0.0863,1.96
368,5102517,0.266,10.3439,0.0863,76.36
369,5102534,2.0717,,,
370,5102541,0.4075,11.2142,0.0431,6.87
371,5102567,0.2666,10.8422,0.0635,9.9
372,5102568,0.126,8.7674,0.2606,4.11
373,5102570,0.1261,11.3869,0.0,1.0
374,5102586,0.0567,9.4646,0.0904,3.07
375,5102587,0.2712,10.4051,0.0759,64.95
376,5102591,0.0788,9.4123,0.086,5.11
377,5102600,0.3558,11.0515,0.039,11.44
378,5102608,0.2051,10.4778,0.0828,1.44
379,5102613,0.2352,10.487,0.18,8.01
380,5102624,0.4887,11.2163,0.0504,3.99
381,5102628,0.3147,10.7603,0.0751,43.43
382,5102630,0.1829,10.3058,0.1887,7.37
383,5102644,0.2686,10.5767,0.0784,34.32
384,5102656,0.1236,10.7855,0.0,1.0
385,5102658,0.2734,10.4268,0.0732,74.12
386,5102678,0.155,10.2796,0.0484,1.8
387,5102689,0.2981,10.9176,0.1168,3.38
388,5102691,0.0983,9.31,0.1015,29.84
389,5102697,0.0694,8.6455,0.1159,194.09
390,5102701,0.2491,10.5284,0.2303,49.73
391,5102715,0.1262,9.2891,0.1182,89.52
392,5102718,0.326,10.92,0.0181,1.0
393,5102720,0.0698,9.2479,0.2173,5.37
394,5102721,1.81,,,
395,5102726,0.3243,9.8782,0.0848,1.16
396,5102735,0.2624,10.8149,0.0564,4.64
397,5102740,0.2688,10.5131,0.094,51.64
398,5102742,0.2356,10.6016,0.1032,4.32
399,5102744,0.4879,11.5891,0.037,4.0
400,5102745,0.1254,9.9648,0.1021,4.23
401,5102750,0.2986,10.7476,0.0891,15.48
402,5102763,0.1555,9.6797,0.1063,100.6
403,5102768,0.1236,10.3275,0.0179,1.11
404,5102771,0.3953,11.1118,0.0544,11.15
405,5102784,0.2641,11.121,0.1315,2.43
406,5102790,0.3489,10.9247,0.0357,4.77
407,5102804,0.2782,10.7982,0.1137,2.14
408,5102808,0.2625,10.7876,0.0695,9.24
409,5102822,0.2499,10.1666,0.1071,48.37
410,5102826,0.2794,10.3108,0.08,35.83
411,5102840,0.1251,9.4108,0.1062,155.09
412,5102861,0.117,10.6231,0.0462,2.01
413,5102866,0.1766,10.7203,0.0173,1.03
414,5102877,0.1747,10.1443,0.0991,26.45
415,5102885,0.2648,10.6257,0.0673,15.31
416,5102887,0.1732,10.1463,0.1323,8.92
417,5102896,0.2784,10.6903,0.0745,20.75
418,5102897,0.0489,9.0541,0.1077,1.95
419,5102905,0.2481,10.6098,0.1082,18.12
420,5102922,0.3254,10.8494,0.0585,49.3
421,5102929,0.4932,10.6397,0.4654,3.45
422,5102940,0.4087,11.2145,0.0221,6.6
423,5102971,0.1256,10.2174,0.0177,1.67
424,5102985,0.1672,9.6285,0.1354,31.03
425,5102989,0.0949,9.1181,0.1056,148.56
426,5102990,0.0568,9.1017,0.1364,12.43
427,5102992,0.2185,10.8454,0.0408,5.69
428,5102993,0.3354,10.7419,0.0778,54.48
429,5103005,0.3255,10.9329,0.0503,56.48
430,5103006,0.176,9.7375,0.1054,168.76
431,5103009,0.1216,10.0901,0.1079,1.73
432,5103021,0.329,10.7391,0.0702,39.45
433,5103027,0.2499,10.0807,0.102,141.45
434,5103048,0.1251,9.6071,0.0537,1.08
435,5103052,0.1371,9.5736,0.0971,128.11
436,5103057,0.1369,9.463,0.0944,203.37
437,5103066,0.2374,10.5593,0.1309,19.55
438,5103072,0.2489,10.4966,0.0637,11.92
439,5103085,0.272,10.9092,0.067,9.3
440,5103091,0.1762,10.0105,0.1012,66.45
441,5103096,0.1768,10.3131,0.0794,21.07
442,5103102,0.4686,,,
443,5103105,1.7955,,,
444,5103113,0.3247,10.8085,0.0647,31.59
445,5103128,0.1764,10.0369,0.072,60.12
446,5103129,0.1551,10.3526,0.0545,1.59
447,5103138,0.1231,10.0099,0.0997,5.0
448,5103159,0.1234,10.6758,0.033,5.27
449,5103164,0.1145,10.0134,0.0811,10.4
450,5103181,0.0156,7.2512,0.1396,48.37
451,5103182,0.1224,10.033,0.0661,3.85
452,5103200,0.1203,9.1493,0.2935,16.95
453,5103206,0.2659,11.5797,0.0031,1.17
454,5103213,0.1241,10.6467,0.0384,2.1
455,5103220,0.3256,10.4616,0.0679,108.68
456,5103227,0.1235,10.3391,0.0793,2.7
457,5103228,0.1253,9.769,0.1037,52.28
458,5103230,0.1772,9.6643,0.1067,240.15
459,5103239,0.3246,10.7593,0.063,30.22
460,5103248,0.1238,10.1004,0.0948,1.75
461,5103251,0.2189,10.2651,0.1065,51.15
462,5103252,0.2387,9.9527,0.1355,9.23
463,5103254,0.4696,11.6164,0.0454,1.25
464,5103256,0.3345,10.4064,0.0606,81.49
465,5103261,0.3212,10.9122,0.0594,6.48
466,5103266,1.1002,,,
467,5103267,0.1638,10.2109,0.0908,9.83
468,5103269,0.3559,10.0877,0.1023,19.84
469,5103271,0.4891,11.4352,0.039,2.74
470,5103277,0.3253,11.3989,0.0584,1.03
471,5103295,0.1231,9.3262,0.0977,207.48
472,5103296,0.1103,9.3383,0.1469,13.82
473,5103298,0.1981,10.4459,0.0565,17.05
474,5103300,0.3245,10.4364,0.0782,30.42
475,5103301,0.2465,10.2576,0.1648,62.37
476,5103307,0.3258,10.3491,0.0587,3.47
477,5103315,0.1553,9.9362,0.1201,56.6
478,5103318,0.1244,9.8166,0.0954,3.0
479,5103320,0.3124,10.5436,0.0837,76.92
480,5103323,0.315,10.7123,0.1052,14.74
481,5103330,0.1251,11.0573,0.0,1.0
482,5103335,0.1984,10.3932,0.0617,18.17
483,5103337,0.0987,8.9718,0.1061,154.79
484,5103338,0.3638,11.0609,0.0293,2.32
485,5103341,0.0984,8.8304,0.1347,35.26
486,5103350,0.1248,9.8534,0.0096,1.0
487,5103361,0.1259,10.1852,0.0541,1.04
488,5103363,0.2123,10.0821,0.1007,4.43
489,5103385,0.3362,11.0056,0.063,11.7
490,5103399,0.1551,9.8188,0.0897,47.36
491,5103400,0.394,11.283,0.0405,4.81
492,5103412,0.1694,9.979,0.1029,36.38
493,5103414,0.1259,9.9704,0.1266,10.35
494,5103418,0.3122,10.764,0.0657,55.34
495,5103425,0.1693,10.029,0.1023,18.93
496,5103428,0.3543,11.0171,0.0587,8.57
497,5103435,0.2652,10.778,0.0766,5.81
498,5103442,0.1221,9.4889,0.1204,111.01
499,5103455,1.0625,,,
500,5103460,0.4254,11.2934,0.0987,5.98
501,5103463,0.0879,8.9428,0.1181,282.07
502,5103465,0.2936,10.9342,0.0597,3.17
503,5103466,0.2287,10.1498,0.09,19.83
504,5103471,0.2946,10.8499,0.0309,1.66
505,5103479,0.1558,10.644,0.0707,3.39
506,5103486,0.1848,10.1293,0.0943,31.58
507,5103495,0.1779,9.7525,0.1146,145.09
508,5103504,0.2986,11.4653,0.0933,2.27
509,5103508,0.1226,10.0377,0.0393,10.9
510,5103514,0.2635,10.8408,0.0723,5.08
511,5103528,0.2985,10.6334,0.1678,1.51
512,5103532,0.272,10.5607,0.1092,11.51
513,5103533,0.2988,10.5414,0.0187,1.25
514,5103538,0.1726,9.8522,0.111,137.51
515,5103543,0.2643,10.9927,0.0342,8.36
516,5103552,0.124,9.8942,0.0887,1.44
517,5103553,0.1269,10.3018,0.0226,1.19
518,5103567,0.3566,10.6574,0.0617,55.82
519,5103574,0.3248,10.5909,0.1023,55.85
520,5103590,0.1263,9.8754,0.0093,1.06
521,5103592,0.3001,10.8844,0.0392,39.37
522,5103594,0.2463,9.8281,0.0979,172.01
523,5103597,0.1248,9.9132,0.0578,6.07
524,5103598,0.1692,9.9485,0.1038,88.01
525,5103599,0.3251,10.5578,0.0702,92.54
526,5103605,0.1245,10.2521,0.0688,4.08
527,5103612,0.4713,11.3379,0.0332,7.01
528,5103625,0.1788,10.1112,0.0726,52.88
529,5103633,0.1777,9.8988,0.0952,119.82
530,5103638,0.1769,10.2541,0.1949,8.9
531,5103645,0.2032,10.1717,0.1696,3.02
532,5103646,0.1775,10.9213,0.0773,3.08
533,5103648,0.2994,10.8521,0.0764,13.34
534,5103650,0.1258,10.0379,0.0741,4.46
535,5103653,0.4736,10.8204,0.2472,3.14
536,5103655,0.3245,10.595,0.1016,26.18
537,5103669,0.1262,9.5544,0.0921,156.63
538,5103670,0.1785,10.6379,0.0846,3.14
539,5103671,0.1249,9.6385,0.1994,22.73
540,5103672,0.1711,10.4675,0.3927,1.52
541,5103674,0.3248,10.9931,0.2223,4.84
542,5103681,0.299,10.6391,0.067,77.61
543,5103685,1.8716,,,
544,5103686,0.1261,11.0014,0.0196,1.82
545,5103696,0.1221,9.2307,0.1086,216.59
546,5103703,0.1252,9.7612,0.0023,1.0
547,5103705,0.4862,11.3357,0.054,2.41
548,5103706,0.2984,11.1661,0.0454,1.08
549,5103708,0.1558,9.8203,0.1329,43.81
550,5103710,0.4888,11.5118,0.0273,2.53
551,5103711,0.3492,10.8754,0.0422,9.03
552,5103721,0.2977,10.9743,0.0536,5.63
553,5103722,0.1992,10.91,0.0515,2.52
554,5103725,0.2369,10.5026,0.0871,35.3
555,5103732,0.103,10.1798,0.1223,6.91
556,5103733,0.3241,10.6202,0.1111,52.33
557,5103738,0.326,10.922,0.0491,32.0
558,5103742,0.1704,10.1046,0.0987,11.05
559,5103747,0.029,9.4142,0.0001,1.0
560,5103749,0.3252,10.4752,0.0769,1.79
561,5103750,0.2987,10.9499,0.0734,8.22
562,5103753,0.3017,10.8996,0.0574,6.89
563,5103755,0.2639,11.0334,0.0415,5.86
564,5103759,0.2994,10.7966,0.0708,39.29
565,5103761,0.263,11.0733,0.0307,2.37
566,5103762,0.2054,9.7131,0.1126,215.48
567,5103766,0.1129,9.4053,0.0894,142.5
568,5103780,0.0288,8.3532,0.0872,21.0
