 # CATAID  RA   DEC Z_TONRY nQ  M_r  DistanceToEdge Completeness DistanceTo5nn SurfaceDensity SurfaceDensityErr SurfaceDensityFlag CountInCyl CountInCylErr CountInCylFlag AGEDenPar  AGEErr AGEScale AGEDenParFlag
   5120805  340.846509200000 -31.38355590000000106 0.17377     4  -20.429   17.24701  1.0000    0.775        2.648    0.3667     0     7.000     2.6     0    1.441    4.472    1.600     0
   5101283  339.498539800000 -32.37437080000000122 0.16873     4  -19.883    5.10292  1.0000   11.180        0.012 -999.9000     2     1.000     1.0     0    0.055    1.000    1.000     0
   5125241  342.686449100000 -33.40562729999999902 0.16478     4  -20.356   18.88814  1.0000    1.883        0.449    0.0269     0     2.000     1.4     0    0.680    3.464    1.200     0
   5152002  345.728803200000 -33.25749460000000113 0.17548     4  -21.143   21.92605  1.0000    4.741        0.071    0.0037     0     0.000     0.0     0    0.044    2.000    1.000     0
   5106888  339.653120000000 -31.20140870000000177 0.16448     4  -20.157    6.60671  1.0000    8.395        0.007 -999.9000     2     0.000     0.0     0    0.188    2.000    1.200     0
   5144738  343.840690600000 -31.73349359999999919 0.17630     4  -20.437   21.90978  1.0000    5.399        0.055    0.0307     0     0.000     0.0     0    0.527    2.236    1.600     0
   5103638  339.571502900000 -31.86587360000000047 0.17581     4  -20.842    6.11840  1.0000    0.966        1.704    0.1633     0     5.000     2.2     0    0.173    2.449    1.000     0
   5118613  341.272779500000 -31.87022860000000080 0.17627     4  -20.502   23.63508  1.0000    0.679        3.451    0.0089     0     7.000     2.6     0    0.506    3.873    1.000     0
   5145575  344.618882500000 -32.58354090000000269 0.17596     4  -19.954   30.48597  1.0000    1.470        0.737    0.2644     0     3.000     1.7     0    0.164    2.236    1.000     0
   5110165  341.354733100000 -33.58756790000000336 0.16258     4  -19.703   16.51903  1.0000   12.862        0.010    0.0010     0     0.000     0.0     0    0.147    1.732    1.000     0
   5116274  341.660319600000 -32.34098120000000165 0.17624     4  -19.967   28.39961  1.0000    0.379       11.064    6.0132     0     7.000     2.6     0    0.850    4.243    1.200     0
   5123577  341.914751800000 -30.80554389999999998 0.17686     4  -21.125   10.21274  1.0000    5.331        0.056    0.0034     0     0.000     0.0     0    0.070    2.449    1.000     0
   5100367  340.102830900000 -32.58090959999999825 0.17748     4  -20.899   11.82048  1.0000    2.314        0.297    0.0286     0     0.000     0.0     0    0.360    3.873    1.200     0
   5151145  345.659071800000 -33.42006279999999663 0.16980     4  -20.517   19.26370  1.0000    2.747        0.211    0.0156     0     0.000     0.0     0    0.212    2.000    1.000     0
   5125290  342.044224800000 -33.39454609999999946 0.16412     4  -20.106   18.94650  1.0000    6.319        0.040    0.0036     0     0.000     0.0     0    0.009    1.000    1.000     0
   5142179  343.865042800000 -32.23631519999999995 0.17322     4  -21.591   27.79244  1.0000    2.825        0.199    0.0028     0     0.000     0.0     0    0.176    2.449    1.200     0
   5116367  341.665909400000 -32.32170469999999796 0.17567     4  -20.600   28.37730  1.0000    0.624        4.083    0.8105     0     5.000     2.2     0    1.385    5.099    1.600     0
   5130388  342.577273500000 -31.37459850000000117 0.16227     4  -19.908   16.04640  1.0000   16.598        0.001 -999.9000     2     0.000     0.0     0 -999.900 -999.900    1.000     2
   5156480  345.562517300000 -32.29567610000000144 0.17804     4  -20.515   29.28985  1.0000    1.002        1.586    0.1157     0     4.000     2.0     0    1.406    5.385    1.600     0
   5127798  342.456713300000 -32.87658650000000193 0.15687     4  -19.881   23.99587  1.0000   15.192        0.007    0.0003     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5149781  345.241712600000 -31.72445120000000074 0.17242     4  -20.561   21.33644  1.0000    5.484        0.053    0.0030     0     1.000     1.0     0    0.372    1.732    1.400     0
   5121005  341.734884100000 -31.34166319999999928 0.17902     4  -19.994   17.20794  1.0000    5.073        0.062    0.0035     0     0.000     0.0     0 -999.900 -999.900    1.000     2
   5103479  339.580124300000 -31.90304349999999900 0.15466     4  -21.043    5.48984  1.0000    5.842        0.011 -999.9000     2     0.000     0.0     0    0.126    3.000    1.000     0
   5103315  339.578549000000 -31.93649209999999883 0.15425     4  -19.973    5.45900  1.0000    4.981        0.064    0.0137     0     1.000     1.0     0    0.428    3.162    1.200     0
   5105669  340.333428600000 -31.44202389999999880 0.15423     4  -19.780   12.64745  1.0000    1.994        0.400    0.0636     0     2.000     1.4     0    0.794    3.317    1.400     0
   5138597  343.255485200000 -32.89196869999999961 0.16914     4  -19.929   25.60760  1.0000    2.641        0.228    0.1092     0     1.000     1.0     0    0.590    2.828    1.400     0
