cata_id    ra            dec        z1  template1   cc_sigma  z2 template2  cc_sigma   spec_id
00138368  181.9459   -1.8257    0.2744  47   6.3    0.3039  45   8.3  G12_Y2_012_022 
00007242  176.2923    0.7391    0.5292  42   6.0    0.6420  47   5.2  G12_Y2_015_127 
00185998  182.6006   -1.6102    0.2875  45   7.4    0.4138  40   9.0  G12_Y2_017_048 
00097836  174.8486    0.9023    0.1104  47   8.7    0.2411  40  10.9  G12_Y2_023_105 
00186737  185.5935   -1.4953    0.2972  45   5.9    0.3014  43   8.1  G12_Y2_038_162 
00272828  180.9781    1.4233    0.2381  47   6.9    0.4019  40   9.9  G12_Y3_003_206 
00690020  179.3960   -1.1398    0.2628  40   8.8    0.3479  47   6.4  G12_Y3_006_143 
00099508  183.1344    1.0024    0.2143  40   9.5    0.7444  43   5.0  G12_Y3_011_353 
00186085  182.8955   -1.6491    0.2412  45   7.6    0.3803  40   7.0  G12_Y3_014_102 
00136800  176.0529   -1.7746    0.2642  40   9.2    0.5890  47   7.1  G12_Y3_020_097 
00007242  176.2923    0.7391    0.5291  40   8.3    0.6420  47   8.2  G12_Y3_021_292 
00947988  177.9011   -1.1187    0.1364  45   6.3    0.2953  44   7.4  G12_Y3_027_325 
00560853  181.9881   -0.5279    0.2237  40   7.1    0.6817  47   5.4  G12_Y3_028_360 
00814991  181.5296    1.9350    0.2228  40   8.3    0.2975  44   5.3  G12_Y3_032_344 
00131725  182.3678   -2.2405    0.1791  40   8.2    0.6299  46   9.7  G12_Y4_206_372 
00130523  177.7319   -2.1068    0.1630  47  10.9    0.2494  44   9.6  G12_Y4_208_364 
00164995  179.4002   -2.8757    0.2670  45   9.5    0.2701  46   8.0  G12_Y5_002_041 
00124295  178.9083   -2.5667    0.1785  45   9.7    0.2798  47  10.6  G12_Y5_002_130 
00130303  176.7894   -2.1851    0.3978  40   7.5    0.4349  47   7.7  G12_Y5_011_246 
00172153  181.4468   -2.4418    0.5144  43   6.2    0.5675  42   5.5  G12_Y5_020_213 
00124295  178.9083   -2.5667    0.1786  44  10.2    0.2799  47  11.2  G12_Y6_042_096 
00186085  182.8955   -1.6491    0.2413  44   6.2    0.3802  40   6.7  G12_Y6_052_267 
00746445  179.0830   -0.2049    0.1071  40   9.7    0.6447  42   5.5  G12_Y6_054_212 
00053931  175.6952   -0.3144    0.1214  47  13.1    0.1472  45  12.2  G12_Y6_056_185 
00130303  176.7894   -2.1851    0.3976  40   7.9    0.4348  47   6.4  G12_Y6_073_063 
00592207  212.0194   -0.0788    0.1778  40   7.3    0.2558  40   8.3  G15_Y1_AS1_248 
00014983  213.6345    0.7500    0.2729  40   9.8    0.5278  47   9.4  G15_Y1_BN1_086 
00296898  213.9269    1.5389    0.0455  47   8.5    0.1602  40  11.0  G15_Y1_BN2_376 
00238715  215.0608    1.6042    0.1898  40  11.0    0.2435  45   9.3  G15_Y1_CN1_326 
00015221  214.6188    0.6294    0.2316  40  10.9    0.2794  47   7.7  G15_Y1_CS1_284 
00508211  216.2738   -1.5983    0.2777  47   6.7    0.2889  40   8.4  G15_Y1_CX1_015 
00092523  216.6288    0.6252    0.0996  47   7.5    0.1253  46   7.9  G15_Y1_DN1_062 
00015554  215.9748    0.6759    0.1421  40   7.7    0.2271  46   6.4  G15_Y1_DN1_123 
00239367  217.4560    1.5260    0.2841  40  10.2    0.3793  45   8.5  G15_Y1_EN1_278 
00320557  218.6342    1.7857    0.2740  40  11.1    0.2789  46   7.2  G15_Y1_FN1_293 
00320384  218.1347    1.6892    0.1093  40   8.4    0.1923  46   7.8  G15_Y1_FN2_240 
00078841  218.9094    0.1227    0.2147  47   5.1    0.2177  40  12.1  G15_Y1_FS1_310 
00298316  219.3480    1.2877    0.3293  40   6.8    0.3325  40   7.4  G15_Y1_GN2_209 
00065016  221.1725   -0.2900    0.2390  46  12.9    0.2863  46  11.0  G15_Y1_HS1_202 
00065298  222.4988   -0.4071    0.2529  40   8.7    0.6485  47   8.3  G15_Y1_IS1_185 
00570323  223.2266   -0.5866    0.2803  47   5.5    0.3126  45  13.3  G15_Y1_IS2_030 
00298302  219.3053    1.4162    0.1500  40   6.0    0.4028  40   6.5  G15_Y2_010_184 
00513306  223.0741   -1.0173    0.2112  46  11.3    0.3204  42   8.2  G15_Y2_011_296 
00545712  220.8162   -0.8878    0.2162  46   7.2    0.4500  42   9.4  G15_Y2_023_324 
00064181  218.4889   -0.3129    0.2145  46   7.4    0.4026  40   7.5  G15_Y3_004_040 
00493692  221.9895   -1.3671    0.1468  45   8.5    0.2612  47  13.0  G15_Y3_008_124 
00545139  218.3885   -1.0098    0.2414  46   6.5    0.3230  40   6.0  G15_Y3_009_225 
00460386  211.9413   -1.8055    0.1130  46   6.4    0.5162  43   6.5  G15_Y3_013_111 
00251526  219.0664    1.9784    0.0635  46   8.5    0.2833  45   7.5  G15_Y3_015_286 
00062459  213.0678   -0.2577    0.1867  44   7.7    0.4239  40   6.5  G15_Y3_016_175 
00617856  213.4935    0.3521    0.2315  40  11.7    0.2616  47   6.7  G15_Y3_016_322 
00106821  217.3270    0.8671    0.1597  40   9.8    0.4519  47   6.2  G15_Y3_036_140 
00320078  216.8465    1.8829    0.2919  42   7.5    0.3480  42   7.5  G15_Y3_036_238 
00014983  213.6345    0.7500    0.2728  40  10.4    0.5278  47   9.5  G15_Y3_037_054 
00278240  215.8088    1.0788    0.2817  47   5.4    0.3932  44   7.9  G15_Y3_038_028 
00319416  214.3854    1.9114    0.0508  40   8.3    0.2449  43   6.5  G15_Y3_038_236 
00298899  222.1406    1.1650    0.3194  40   7.0    0.3737  47   6.3  G15_Y3_039_043 
00884103  217.4228   -1.6888    0.0180  47   7.4    0.7935  47   8.5  G15_Y3_040_063 
00485756  217.1190   -1.7949    0.2686  40  11.5    0.4042  47   6.2  G15_Y3_040_127 
00240564  223.1647    1.3870    0.2129  45   9.3    0.2750  47   6.2  G15_Y3_046_020 
00543716  212.5997   -0.9272    0.2040  44   6.6    0.3573  47   8.3  G15_Y3_048_106 
00250487  214.8240    2.1252    0.2686  40   5.9    0.3038  44   7.1  G15_Y4_204_160 
00362394  214.8896    2.7096    0.3149  40   6.4    0.3942  42   7.9  G15_Y4_204_228 
00250796  216.0213    2.1398    0.1322  45   6.4    0.1994  40  10.2  G15_Y4_213_033 
00249903  213.3328    2.0285    0.1760  47   9.7    0.1795  43   7.1  G15_Y4_215_155 
00250209  214.1705    2.0739    0.3855  40   6.6    0.5534  47   7.1  G15_Y4_218_063 
00262987  222.2379    2.3803    0.2074  40   7.1    0.5622  42   7.6  G15_Y4_225_183 
00077892  215.2081    0.1771    0.3159  40   9.0    0.6197  45   5.7  G15_Y4_229_205 
00617535  211.9512    0.2306    0.2620  40   6.0    0.5101  47   8.0  G15_Y4_233_237 
00460386  211.9413   -1.8055    0.1130  46   8.5    0.5161  43   8.5  G15_Y5_030_122 
00297645  216.5782    1.3844    0.0036  44   6.3    0.3155  47  12.8  G15_Y5_035_224 
00065298  222.4988   -0.4071    0.2527  40   7.8    0.6486  47   6.7  G15_Y6_086_399 
00544985  217.8113   -0.9087    0.3995  45   5.4    0.4023  40   8.4  G15_Y6_089_061 
00343868  222.4170    2.1738    0.1211  47  14.4    0.1238  47   7.9  G15_Y6_092_168 
05251563  344.0924  -34.8805    0.1993  42   8.7    0.3265  47   7.5  G23_Y4_003_075 
05241759  343.3859  -33.7178    0.2081  47   8.5    0.2192  40   9.6  G23_Y4_003_262 
05363861  350.0196  -32.3593    0.2022  42  10.3    0.7854  43   6.0  G23_Y4_005_310 
05217528  341.3444  -30.1495    0.2821  46   8.5    0.3114  47   6.8  G23_Y4_013_313 
05305885  347.4441  -31.0444    0.2130  40   8.0    0.2350  45   6.1  G23_Y4_020_131 
05108875  340.2100  -30.8253    0.2170  40   8.5    0.2870  45   9.6  G23_Y5_030_132 
05340841  349.6062  -33.4586    0.1651  40   8.7    0.1867  40   8.3  G23_Y5_036_070 
05130370  342.0107  -31.3759    0.2608  46   8.9    0.4321  40   6.5  G23_Y5_037_123 
05137833  342.7772  -33.0433    0.3207  40   6.6    0.3278  47   6.2  G23_Y5_042_042 
05127550  341.9380  -32.9232    0.4764  40   6.5    0.6718  40   7.0  G23_Y5_042_159 
05247328  343.9780  -30.7589    0.3590  40   6.7    0.7222  47   6.6  G23_Y5_046_274 
05230798  342.1224  -31.7162    0.2401  40   7.7    0.2430  44   6.6  G23_Y5_051_096 
05305257  346.6616  -31.1684    0.0682  47   8.9    0.1616  47  12.4  G23_Y5_060_055 
05281142  346.3689  -31.0497    0.0880  45   7.5    0.2704  40   8.4  G23_Y5_060_208 
05241681  343.3854  -33.7183    0.2081  46   9.9    0.2239  40   8.0  G23_Y5_062_137 
05141569  343.1883  -32.3655    0.1156  46   6.0    0.2894  40   9.3  G23_Y5_064_023 
05229802  342.5759  -31.9096    0.3876  40   6.6    0.4254  47   6.2  G23_Y5_064_299 
05249229  344.2394  -30.3670    0.3247  47   7.2    0.4488  40   7.7  G23_Y5_065_231 
05368721  350.6917  -31.3248    0.2642  47   7.3    0.2677  47   5.5  G23_Y5_071_395 
05297680  346.4772  -32.8110    0.1879  40   5.9    0.6340  43   8.0  G23_Y5_076_060 
05151771  346.0541  -33.3051    0.1884  45   7.0    0.2116  40   7.8  G23_Y5_076_117 
05151434  345.6853  -33.3673    0.2208  40  10.8    0.3188  47   6.9  G23_Y5_076_137 
05373445  350.9628  -30.2824    0.1629  45   7.2    0.2891  47   8.3  G23_Y7_004_357 
05205278  340.2153  -30.4580    0.2185  40  10.2    0.2602  46   6.8  G23_Y7_011_003 
05288388  346.8634  -34.7093    0.0364  47  10.8    0.2524  45  10.9  G23_Y7_015_086 
05287619  346.6823  -34.8419    0.2036  40   9.9    0.2837  44   5.8  G23_Y7_015_103 
05287452  346.7303  -34.8736    0.2064  40   9.9    0.4942  47   6.6  G23_Y7_015_112 
05275464  345.9835  -34.1494    0.1066  47   6.8    0.1335  47   6.8  G23_Y7_015_236 
05312718  347.9467  -34.7224    0.2415  46   8.5    0.3442  42   7.1  G23_Y7_021_126 
05196710  340.0066  -34.1301    0.2180  40   9.6    0.3009  47  12.2  G23_Y7_030_351 
05201572  339.9558  -33.1315    0.2337  44   5.8    0.3622  40  10.6  G23_Y7_031_066 
05182363  339.2301  -31.9971    0.1824  46   9.6    0.2980  40   7.9  G23_Y7_031_248 
05368668  350.2308  -31.3361    0.2054  40   6.6    0.5838  42   6.1  G23_Y7_033_110 
05241562  343.4845  -33.7467    0.2220  46   7.7    0.2268  40   9.6  G23_Y7_034_061 
05105398  340.4059  -31.4979    0.2392  45   7.8    0.2864  40   8.4  G23_Y7_035_168 
05304612  347.3888  -31.2849    0.1869  44   8.9    0.5559  47   9.7  G23_Y7_037_074 
05218487  342.1991  -34.9678    0.1013  45   7.8    0.1277  40   9.8  G23_Y7_038_152 
05250801  343.7937  -30.0197    0.3833  46  10.2    0.8038  45   6.1  G23_Y7_039_255 
05324878  348.4660  -32.0645    0.1408  47  12.5    0.1675  47  12.8  G23_Y7_040_139 
05278488  345.7080  -31.6132    0.1017  40   7.8    0.2789  46   7.4  G23_Y7_047_054 
05346473  349.6050  -32.1521    0.2269  47   5.7    0.2412  40   7.3  G23_Y7_053_195 
