     cataidGAMA  gama_z   logMstarGAMA    dellogm     neff
     5101892     0.0418     8.5076     0.1208    56.75
     5101925     0.2777     9.9518     0.1365    13.31
     5101930     0.2746    10.7833     0.0524     8.61
     5101931     0.3281    10.8634     0.0516    14.81
     5101932     0.1775    10.3525     0.3115     2.26
     5101934     0.2686    10.8396     0.0271     3.13
     5101935     0.1827    10.8573     0.0465     2.79
     5101946     0.1567    10.3797     0.0685     5.89
     5101959     0.3551    10.9104     0.0602     3.02
     5101963     0.2753    10.5989     0.0987    11.62
     5101964     0.2777    11.2079     0.0230     2.31
     5101967     0.2664    10.5573     0.1265     3.68
     5101975     1.5570        nan        nan      nan
     5101980     0.1261     9.3875     0.1016   346.10
     5101984     0.2768    10.6822     0.0830    29.19
     5101999     0.1763    11.1304     0.0071     1.02
     5102018     0.2718     9.6679     0.1169    51.04
     5102026     0.0627     9.9728     0.0212     1.04
     5102031     0.2787    10.7111     0.0621    13.22
     5102037     0.1768    10.7996     0.0431     2.88
     5102038     0.2797    10.8105     0.0730    37.47
     5102046     0.1784    10.3220     0.1089     9.05
     5102047     0.1775    11.1919     0.0184     1.52
     5102051     0.2980    10.9225     0.0568    10.43
     5102060     0.2747    10.6801     0.0912    14.63
     5102061     0.1780    10.3312     0.0511     2.64
     5102065     0.2789    11.1032     0.0349     4.63
     5102067     0.2123    10.7074     0.0442     2.81
     5102085     0.1756    10.6235     0.0339     1.56
     5102090     0.1661    10.2145     0.0681     5.08
     5102095     0.1791    10.0077     0.0981    21.26
     5102098     0.1772    10.3453     0.0523    11.94
     5102100     0.1769     9.6563     0.1033   247.43
     5102108     0.1556    10.4258     0.0429     3.66
     5102113     0.3194    10.6333     0.0744    57.04
     5102122     0.1040     9.2003     0.0995   156.18
     5102128     0.1426     9.5535     0.1128   138.52
     5102170     0.1028    10.2690     0.0208     1.95
     5102185     0.1975     9.9535     0.0920   146.89
     5102187     0.1804    10.0516     0.0762    11.47
     5102217     0.2685    10.9421     0.0368     6.11
     5102223     0.2715    10.5626     0.0842    31.09
     5102229     0.2740    10.6345     0.0647    13.16
     5102232     0.2982    10.9469     0.0648     9.56
     5102246     0.0273    10.1162     0.0000     1.00
     5102253     0.2779    10.3402     0.0727    95.75
     5102256     0.2786    10.3614     0.0730    80.39
     5102259     0.2685    11.5192     0.0097     1.00
     5102274     0.0574     9.4497     0.0540     2.30
     5102296     0.0785     9.0487     0.1016   127.58
     5102297     0.3147    10.6350     0.0766    21.63
     5102305     0.3144    10.6721     0.0785    92.08
     5102308     0.0767     8.8150     0.1141   165.86
     5102322     0.2099    10.4049     0.0844    16.54
     5102328     0.2124     9.8803     0.0953   184.93
     5102337     0.1257    10.6480     0.0214     1.74
     5102342     0.0771     8.9944     0.1240   247.76
     5102352     0.2696    10.5921     0.0784    18.65
     5102360     0.0943    10.1990     0.0333     2.68
     5102364     0.2677    10.5010     0.0745    18.98
     5102381     0.1028    10.4225     0.0203     1.52
     5102397     0.0882     9.1793     0.1133    70.73
     5102422     0.1112    10.5399     0.0055     1.01
     5102424     0.0867     9.2642     0.0907    85.77
     5102436     0.1801    10.1781     0.0894    58.76
     5102440     0.3224    11.0683     0.0519    20.30
     5102458     0.2780    10.7731     0.0539    16.48
     5102466     0.1805    10.8710     0.0057     1.01
     5102473     0.1118    10.2469     0.0465     4.03
     5102474     0.3115    10.8314     0.0534    11.33
     5102485     0.3269    10.9094     0.0507    40.44
     5102486     0.1221     9.5758     0.0895    25.10
     5102496     0.3261    11.1209     0.0863     1.96
     5102517     0.2660    10.3439     0.0863    76.36
     5102534     2.0717        nan        nan      nan
     5102541     0.4075    11.2142     0.0431     6.87
     5102567     0.2666    10.8422     0.0635     9.90
     5102568     0.1260     8.7674     0.2606     4.11
     5102570     0.1261    11.3869     0.0000     1.00
     5102586     0.0567     9.4646     0.0904     3.07
     5102587     0.2712    10.4051     0.0759    64.95
     5102591     0.0788     9.4123     0.0860     5.11
     5102600     0.3558    11.0515     0.0390    11.44
     5102608     0.2051    10.4778     0.0828     1.44
     5102613     0.2352    10.4870     0.1800     8.01
     5102624     0.4887    11.2163     0.0504     3.99
     5102628     0.3147    10.7603     0.0751    43.43
     5102630     0.1829    10.3058     0.1887     7.37
     5102644     0.2686    10.5767     0.0784    34.32
     5102656     0.1236    10.7855     0.0000     1.00
     5102658     0.2734    10.4268     0.0732    74.12
     5102678     0.1550    10.2796     0.0484     1.80
     5102689     0.2981    10.9176     0.1168     3.38
     5102691     0.0983     9.3100     0.1015    29.84
     5102697     0.0694     8.6455     0.1159   194.09
     5102701     0.2491    10.5284     0.2303    49.73
     5102715     0.1262     9.2891     0.1182    89.52
     5102718     0.3260    10.9200     0.0181     1.00
     5102720     0.0698     9.2479     0.2173     5.37
     5102721     1.8100        nan        nan      nan
     5102726     0.3243     9.8782     0.0848     1.16
     5102735     0.2624    10.8149     0.0564     4.64
     5102740     0.2688    10.5131     0.0940    51.64
     5102742     0.2356    10.6016     0.1032     4.32
     5102744     0.4879    11.5891     0.0370     4.00
     5102745     0.1254     9.9648     0.1021     4.23
     5102750     0.2986    10.7476     0.0891    15.48
     5102763     0.1555     9.6797     0.1063   100.60
     5102768     0.1236    10.3275     0.0179     1.11
     5102771     0.3953    11.1118     0.0544    11.15
     5102784     0.2641    11.1210     0.1315     2.43
     5102790     0.3489    10.9247     0.0357     4.77
     5102804     0.2782    10.7982     0.1137     2.14
