,cataid,ra,dec,z1,template1,cc_sigma,z2,template2,cc_sigma.1,spec_id,t1_type,t2_type,spec_type
226,5105398,340.4059,-31.4979,0.2392,45,7.8,0.2864,40,8.4,G23_Y7_035_168,ELG,PG,ELG+PG
228,5218487,342.1991,-34.9678,0.1013,45,7.8,0.1277,40,9.8,G23_Y7_038_152,ELG,PG,ELG+PG
1,2379807,37.1602,-4.0345,0.3289,46,8.6,0.3329,40,10.8,G02_Y3_016_301,ELG,PG,ELG+PG
35,279369,136.799,0.9804,0.2376,46,7.2,0.2842,40,8.5,G09_Y1_FN2_031,ELG,PG,ELG+PG
46,196060,129.0162,-0.6934,0.0513,46,5.6,0.2933,40,8.7,G09_Y2_019_155,ELG,PG,ELG+PG
62,3913313,139.749,-1.3061,0.223,46,11.1,0.2256,40,10.3,G09_Y4_202_373,ELG,PG,ELG+PG
69,3624490,132.0977,-0.8527,0.2463,46,7.4,0.3657,40,8.3,G09_Y4_246_346,ELG,PG,ELG+PG
79,345984,131.7811,2.1267,0.1384,46,7.6,0.2073,40,8.1,G09_Y6_080_232,ELG,PG,ELG+PG
103,585644,183.8302,-0.1963,0.2556,46,7.8,0.4044,40,9.4,G12_Y1_HND1_134,ELG,PG,ELG+PG
105,9156,185.0803,0.7194,0.115,46,8.9,0.27,40,10.1,G12_Y1_IND1_273,ELG,PG,ELG+PG
114,537363,184.9528,-0.8721,0.0398,46,7.5,0.2057,40,7.2,G12_Y2_005_274,ELG,PG,ELG+PG
117,136782,176.1114,-1.7726,0.2459,46,6.8,0.3943,40,7,G12_Y2_011_074,ELG,PG,ELG+PG
162,64181,218.4889,-0.3129,0.2145,46,7.4,0.4026,40,7.5,G15_Y3_004_040,ELG,PG,ELG+PG
164,545139,218.3885,-1.0098,0.2414,46,6.5,0.323,40,6,G15_Y3_009_225,ELG,PG,ELG+PG
199,5130370,342.0107,-31.3759,0.2608,46,8.9,0.4321,40,6.5,G23_Y5_037_123,ELG,PG,ELG+PG
206,5241681,343.3854,-33.7183,0.2081,46,9.9,0.2239,40,8,G23_Y5_062_137,ELG,PG,ELG+PG
207,5141569,343.1883,-32.3655,0.1156,46,6,0.2894,40,9.3,G23_Y5_064_023,ELG,PG,ELG+PG
223,5182363,339.2301,-31.9971,0.1824,46,9.6,0.298,40,7.9,G23_Y7_031_248,ELG,PG,ELG+PG
225,5241562,343.4845,-33.7467,0.222,46,7.7,0.2268,40,9.6,G23_Y7_034_061,ELG,PG,ELG+PG
240,5267107,344.9298,-30.837,0.1141,46,9.2,0.2789,40,9,G23_Y7_123_136,ELG,PG,ELG+PG
4,1740396,36.3669,-9.3523,0.1962,47,12.3,0.445,40,6.3,G02_Y4_029_366,ELG,PG,ELG+PG
104,71566,185.1664,0.2078,0.2586,47,6.5,0.2874,40,11.5,G12_Y1_IND1_199,ELG,PG,ELG+PG
121,97836,174.8486,0.9023,0.1104,47,8.7,0.2411,40,10.9,G12_Y2_023_105,ELG,PG,ELG+PG
123,272828,180.9781,1.4233,0.2381,47,6.9,0.4019,40,9.9,G12_Y3_003_206,ELG,PG,ELG+PG
145,296898,213.9269,1.5389,0.0455,47,8.5,0.1602,40,11,G15_Y1_BN2_376,ELG,PG,ELG+PG
148,508211,216.2738,-1.5983,0.2777,47,6.7,0.2889,40,8.4,G15_Y1_CX1_015,ELG,PG,ELG+PG
154,78841,218.9094,0.1227,0.2147,47,5.1,0.2177,40,12.1,G15_Y1_FS1_310,ELG,PG,ELG+PG
193,5241759,343.3859,-33.7178,0.2081,47,8.5,0.2192,40,9.6,G23_Y4_003_262,ELG,PG,ELG+PG
209,5249229,344.2394,-30.367,0.3247,47,7.2,0.4488,40,7.7,G23_Y5_065_231,ELG,PG,ELG+PG
232,5346473,349.605,-32.1521,0.2269,47,5.7,0.2412,40,7.3,G23_Y7_053_195,ELG,PG,ELG+PG
241,5237727,343.0789,-34.4452,0.1586,47,7.1,0.229,40,6.3,G23_Y7_125_377,ELG,PG,ELG+PG
16,1537351,30.8041,-6.0456,0.4237,40,6.6,0.622,42,6.5,G02_Y5_113_092,PG,PG,PG+PG
27,622326,132.663,0.6361,0.2344,40,7.1,0.3779,42,7.5,G09_Y1_CN1_067,PG,PG,PG+PG
33,417922,134.097,2.4964,0.1981,40,9.1,0.6154,42,6.5,G09_Y1_DX2_198,PG,PG,PG+PG
54,425637,129.1572,2.8699,0.2825,40,6.1,0.5107,42,8,G09_Y3_006_236,PG,PG,PG+PG
59,387615,137.1983,2.4085,0.2807,40,10.5,0.5492,42,5.1,G09_Y3_016_221,PG,PG,PG+PG
64,3579777,131.4127,-1.6622,0.2583,40,7.9,0.8693,42,5.3,G09_Y4_214_091,PG,PG,PG+PG
68,3890035,138.5502,-1.6866,0.2591,40,9.1,0.8676,42,6,G09_Y4_228_088,PG,PG,PG+PG
83,559147,175.8861,-0.44,0.3508,40,9.9,0.8028,42,5.4,G12_Y1_BND1_142,PG,PG,PG+PG
109,585446,182.7408,-0.1354,0.3314,40,6.3,0.3452,42,7.5,G12_Y1_ND5_071,PG,PG,PG+PG
140,746445,179.083,-0.2049,0.1071,40,9.7,0.6447,42,5.5,G12_Y6_054_212,PG,PG,PG+PG
180,362394,214.8896,2.7096,0.3149,40,6.4,0.3942,42,7.9,G15_Y4_204_228,PG,PG,PG+PG
184,262987,222.2379,2.3803,0.2074,40,7.1,0.5622,42,7.6,G15_Y4_225_183,PG,PG,PG+PG
224,5368668,350.2308,-31.3361,0.2054,40,6.6,0.5838,42,6.1,G23_Y7_033_110,PG,PG,PG+PG
242,5238595,343,-34.2987,0.1995,40,6,0.6547,42,6.4,G23_Y7_125_389,PG,PG,PG+PG
170,320078,216.8465,1.8829,0.2919,42,7.5,0.348,42,7.5,G15_Y3_036_238,PG,PG,PG+PG
137,172153,181.4468,-2.4418,0.5144,43,6.2,0.5675,42,5.5,G12_Y5_020_213,ELG,PG,ELG+PG
81,84090,175.9738,0.4861,0.2583,44,8.2,0.2838,42,7.2,G12_Y1_BD1_276,ELG,PG,ELG+PG
236,5305246,346.6751,-31.1567,0.0695,44,6.9,0.4582,42,6.5,G23_Y7_108_173,ELG,PG,ELG+PG
10,2002618,38.3059,-5.0733,0.2559,45,6.2,0.3482,42,9.7,G02_Y5_075_045,ELG,PG,ELG+PG
43,348299,140.9444,2.2426,0.2789,45,6.3,0.4086,42,10.4,G09_Y2_004_043,ELG,PG,ELG+PG
52,324470,136.078,1.6802,0.1481,45,10.3,0.3212,42,8.9,G09_Y3_002_062,ELG,PG,ELG+PG
160,513306,223.0741,-1.0173,0.2112,46,11.3,0.3204,42,8.2,G15_Y2_011_296,ELG,PG,ELG+PG
161,545712,220.8162,-0.8878,0.2162,46,7.2,0.45,42,9.4,G15_Y2_023_324,ELG,PG,ELG+PG
220,5312718,347.9467,-34.7224,0.2415,46,8.5,0.3442,42,7.1,G23_Y7_021_126,ELG,PG,ELG+PG
29,371995,133.7899,0.9842,0.1081,47,8.6,0.3862,42,7.9,G09_Y1_DN1_061,ELG,PG,ELG+PG
91,220204,180.6768,1.5637,0.2282,47,6.5,0.3534,42,8,G12_Y1_DX1_397,ELG,PG,ELG+PG
2,1126606,33.8951,-6.5514,0.2173,40,9.8,0.7493,43,5.1,G02_Y3_018_199,PG,ELG,PG+ELG
6,1270758,32.6593,-10.0763,0.1441,40,9.7,0.6982,43,5.6,G02_Y4_042_077,PG,ELG,PG+ELG
125,99508,183.1344,1.0024,0.2143,40,9.5,0.7444,43,5,G12_Y3_011_353,PG,ELG,PG+ELG
173,319416,214.3854,1.9114,0.0508,40,8.3,0.2449,43,6.5,G15_Y3_038_236,PG,ELG,PG+ELG
211,5297680,346.4772,-32.811,0.1879,40,5.9,0.634,43,8,G23_Y5_076_060,PG,ELG,PG+ELG
194,5363861,350.0196,-32.3593,0.2022,42,10.3,0.7854,43,6,G23_Y4_005_310,PG,ELG,PG+ELG
60,599995,133.3523,0.3228,0.2891,43,9.1,0.2925,43,5.6,G09_Y3_022_364,ELG,ELG,ELG+ELG
95,289050,180.988,1.7826,0.2591,45,6.6,0.2617,43,12.5,G12_Y1_EX2_252,ELG,ELG,ELG+ELG
122,186737,185.5935,-1.4953,0.2972,45,5.9,0.3014,43,8.1,G12_Y2_038_162,ELG,ELG,ELG+ELG
165,460386,211.9413,-1.8055,0.113,46,6.4,0.5162,43,6.5,G15_Y3_013_111,ELG,ELG,ELG+ELG
187,460386,211.9413,-1.8055,0.113,46,8.5,0.5161,43,8.5,G15_Y5_030_122,ELG,ELG,ELG+ELG
182,249903,213.3328,2.0285,0.176,47,9.7,0.1795,43,7.1,G15_Y4_215_155,ELG,ELG,ELG+ELG
233,5278581,345.5005,-31.5943,0.1806,47,7.3,0.3138,43,8,G23_Y7_102_073,ELG,ELG,ELG+ELG
12,1763319,36.3708,-5.9177,0.2943,40,7.2,0.3186,44,6.6,G02_Y5_089_071,PG,ELG,PG+ELG
41,388201,138.9989,2.5143,0.1674,40,10,0.2985,44,8.2,G09_Y2_002_219,PG,ELG,PG+ELG
72,3909630,137.3782,-1.18,0.2271,40,10.2,0.3282,44,8.2,G09_Y4_260_267,PG,ELG,PG+ELG
131,814991,181.5296,1.935,0.2228,40,8.3,0.2975,44,5.3,G12_Y3_032_344,PG,ELG,PG+ELG
179,250487,214.824,2.1252,0.2686,40,5.9,0.3038,44,7.1,G15_Y4_204_160,PG,ELG,PG+ELG
203,5230798,342.1224,-31.7162,0.2401,40,7.7,0.243,44,6.6,G23_Y5_051_096,PG,ELG,PG+ELG
217,5287619,346.6823,-34.8419,0.2036,40,9.9,0.2837,44,5.8,G23_Y7_015_103,PG,ELG,PG+ELG
88,559653,177.7595,-0.4763,0.1241,44,10.1,0.2588,44,9.4,G12_Y1_CN1_069,ELG,ELG,ELG+ELG
38,574857,137.5214,-0.1276,0.1054,45,12.1,0.2995,44,9.4,G09_Y1_GS1_210,ELG,ELG,ELG+ELG
129,947988,177.9011,-1.1187,0.1364,45,6.3,0.2953,44,7.4,G12_Y3_027_325,ELG,ELG,ELG+ELG
237,5145400,344.8312,-32.6022,0.028,45,7.6,0.1905,44,10.2,G23_Y7_121_201,ELG,ELG,ELG+ELG
