,ra,dec,z1,z2,spec_type,cataid
134,32.37917,-6.3768400000000005,0.23800000000000002,0.273,ELG+PG,1298084
135,31.983040000000003,-4.41341,0.209,0.64,ELG+PG,1440776
136,35.88917,-8.47218,0.28300000000000003,0.195,ELG+PG,1614527
137,35.41175,-4.48197,0.258,0.08,ELG+PG,1675035
138,36.36688,-9.352310000000001,0.196,0.445,ELG+PG,1740396
139,36.16213,-5.76612,0.231,0.162,ELG+PG,1765570
140,38.30588,-5.07329,0.348,0.256,ELG+PG,2002618
141,37.16025,-4.03447,0.33299999999999996,0.32899999999999996,ELG+PG,2379807
142,343.38587,-33.71781,0.21899999999999997,0.20800000000000002,ELG+PG,5006684
143,343.38537,-33.71829,0.20800000000000002,0.22399999999999998,ELG+PG,7014061
144,346.05408,-33.30514,0.212,0.188,ELG+PG,7023086
145,343.18829,-32.36551,0.289,0.11599999999999999,ELG+PG,7046392
146,342.01071,-31.375940000000003,0.261,0.43200000000000005,ELG+PG,7069205
147,346.36892,-31.04973,0.27,0.08800000000000001,ELG+PG,7076874
148,344.23937,-30.367040000000003,0.449,0.325,ELG+PG,7093351
149,138.2815,-0.66673,0.163,0.321,PG+ELG,198082
150,129.69546,-0.38179,0.418,0.738,PG+ELG,202448
151,136.63883,-0.35203,0.282,0.449,PG+ELG,204140
152,132.36771000000002,0.1636,0.128,0.603,PG+ELG,209222
153,132.61013,0.11972000000000001,0.313,0.608,PG+ELG,209295
154,134.02979,0.15244000000000002,0.16699999999999998,0.158,PG+ELG,209584
155,140.14186999999998,0.97341,0.586,0.336,PG+ELG,279956
156,135.32929,1.22984,0.48700000000000004,0.247,PG+ELG,301818
157,138.94058,1.33144,0.593,0.40399999999999997,PG+ELG,302719
158,130.73717,1.5595700000000001,0.41600000000000004,0.35,PG+ELG,323200
159,131.02333000000002,1.6481400000000002,0.16399999999999998,0.22899999999999998,PG+ELG,323247
160,138.257,1.72137,0.32899999999999996,0.336,PG+ELG,325026
161,138.62475,1.8714099999999998,0.20199999999999999,0.165,PG+ELG,325108
162,130.50925,1.02071,0.077,0.6990000000000001,PG+ELG,371208
163,136.80625,1.64392,0.28300000000000003,0.308,PG+ELG,377212
164,137.90642,1.62916,0.16899999999999998,0.33399999999999996,PG+ELG,377486
165,130.27629,1.72911,0.361,0.387,PG+ELG,380839
166,138.7635,2.0415900000000002,0.341,0.358,PG+ELG,382857
167,140.6575,2.1373599999999997,0.19399999999999998,0.342,PG+ELG,383284
168,138.99892,2.5142900000000004,0.16699999999999998,0.299,PG+ELG,388201
169,132.51888,2.29438,0.10800000000000001,0.457,PG+ELG,417645
170,140.98671000000002,2.86084,0.569,0.662,PG+ELG,419678
171,132.81062,2.8378400000000004,0.308,0.212,PG+ELG,422882
172,129.41362,-0.01039,0.27399999999999997,0.657,PG+ELG,573657
173,135.66788,-0.13742000000000001,0.223,0.22899999999999998,PG+ELG,574390
174,140.77658,-0.11463,0.32,0.48100000000000004,PG+ELG,575653
175,140.42683,-1.0920100000000001,0.331,0.22399999999999998,PG+ELG,663372
176,139.63437,-0.60728,0.585,0.757,PG+ELG,905359
177,129.95892,-1.63319,0.268,0.187,PG+ELG,3576902
178,134.23367,-0.80412,0.736,0.267,PG+ELG,3626956
179,138.10708,-0.95852,0.315,0.444,PG+ELG,3632403
180,135.10842,-1.60189,0.41100000000000003,0.44,PG+ELG,3884455
181,137.37821,-1.17997,0.22699999999999998,0.32799999999999996,PG+ELG,3909630
182,176.29228999999998,0.73915,0.529,0.642,PG+ELG,7242
183,176.96358,1.2031,0.094,0.7120000000000001,PG+ELG,22278
184,178.05237,1.05246,0.28300000000000003,0.157,PG+ELG,22559
185,182.90017,0.17959,0.255,0.122,PG+ELG,71072
186,177.78321,0.9194899999999999,0.4,0.569,PG+ELG,98399
187,179.06704,0.99197,0.259,0.27,PG+ELG,98624
188,183.13442,1.00244,0.214,0.7440000000000001,PG+ELG,99508
189,176.78942,-2.18512,0.435,0.39799999999999996,PG+ELG,130303
190,182.36783,-2.2404599999999997,0.63,0.179,PG+ELG,131725
191,176.05286999999998,-1.7745900000000001,0.264,0.589,PG+ELG,136800
192,178.14021,-2.71487,0.078,0.153,PG+ELG,164640
193,180.96967,-1.46278,0.265,0.273,PG+ELG,185604
194,182.7435,1.5978700000000001,0.289,0.361,PG+ELG,220682
195,183.53083,1.55306,0.266,0.327,PG+ELG,220854
196,182.16688,1.9984,0.16,0.6890000000000001,PG+ELG,231043
197,183.15171,1.9701799999999998,0.19,0.218,PG+ELG,231307
198,185.33296,1.9225599999999998,0.423,0.46,PG+ELG,231746
199,185.65375,1.33724,0.217,0.415,PG+ELG,273903
200,181.64301,1.7412299999999998,0.294,0.701,PG+ELG,289278
201,174.23017,1.8973200000000001,0.138,0.204,PG+ELG,402278
202,180.41128999999998,-0.48253999999999997,0.165,0.5429999999999999,PG+ELG,560475
203,181.98808,-0.52788,0.22399999999999998,0.682,PG+ELG,560853
204,175.01863,-0.14991,0.314,0.747,PG+ELG,583469
205,184.62887,-0.18264,0.456,0.307,PG+ELG,586392
206,185.72429,-0.20906,0.6970000000000001,0.287,PG+ELG,586648
207,178.25696000000002,0.30019,0.365,0.391,PG+ELG,610029
208,179.39604,-1.13984,0.263,0.348,PG+ELG,690020
209,181.52958,1.9349599999999998,0.223,0.297,PG+ELG,814991
210,213.6345,0.74998,0.273,0.528,PG+ELG,14983
211,214.61879,0.62943,0.23199999999999998,0.27899999999999997,PG+ELG,15221
212,215.97478999999998,0.67592,0.142,0.22699999999999998,PG+ELG,15554
213,218.90542000000002,-0.7438899999999999,0.34299999999999997,0.245,PG+ELG,48883
214,222.49875,-0.40713,0.253,0.649,PG+ELG,65298
215,215.20808,0.17706,0.316,0.62,PG+ELG,77892
216,217.327,0.86711,0.16,0.452,PG+ELG,106821
217,215.06082999999998,1.6042299999999998,0.19,0.243,PG+ELG,238715
218,217.45604,1.52598,0.284,0.379,PG+ELG,239367
219,214.17046000000002,2.07386,0.5529999999999999,0.386,PG+ELG,250209
220,214.82401000000002,2.12522,0.304,0.26899999999999996,PG+ELG,250487
221,218.22696000000002,1.9778200000000001,0.439,0.466,PG+ELG,251342
222,222.14057999999997,1.1650399999999999,0.319,0.374,PG+ELG,298899
223,214.14233,1.86348,0.266,0.28600000000000003,PG+ELG,319348
224,214.38537999999997,1.9114,0.051,0.245,PG+ELG,319416
225,218.13475,1.68924,0.109,0.192,PG+ELG,320384
226,218.63421,1.7856599999999998,0.27399999999999997,0.27899999999999997,PG+ELG,320557
227,215.06900000000002,2.22422,0.391,0.32799999999999996,PG+ELG,342308
228,212.48057999999997,-1.6174600000000001,0.115,0.41100000000000003,PG+ELG,460463
229,213.41046,-1.64736,0.429,0.308,PG+ELG,460713
230,217.11896000000002,-1.79492,0.26899999999999996,0.40399999999999997,PG+ELG,485756
231,215.95117000000002,-1.6813099999999999,0.20199999999999999,0.305,PG+ELG,508116
232,211.95117000000002,0.23064,0.51,0.262,PG+ELG,617535
233,213.49346,0.35214,0.231,0.262,PG+ELG,617856
234,33.89513,-6.5513900000000005,0.217,0.7490000000000001,PG+ELG,1126606
235,32.659290000000006,-10.07633,0.14400000000000002,0.698,PG+ELG,1270758
236,32.292790000000004,-5.43011,0.41700000000000004,0.619,PG+ELG,1312058
237,30.69342,-4.01222,0.331,0.436,PG+ELG,1569977
238,35.62492,-3.8768800000000003,0.614,0.292,PG+ELG,1684064
239,36.37075,-5.91766,0.294,0.319,PG+ELG,1763319
240,37.92875,-4.88681,0.18899999999999997,0.716,PG+ELG,2005629
241,30.82808,-7.635839999999999,0.242,0.32799999999999996,PG+ELG,2248952
242,344.09237,-34.88054,0.19899999999999998,0.326,PG+ELG,5000687
243,350.01962000000003,-32.35935,0.20199999999999999,0.785,PG+ELG,5014213
244,347.44408,-31.04443,0.213,0.235,PG+ELG,5022159
245,340.90525,-30.26776,0.151,0.282,PG+ELG,5026858
246,345.68529,-33.367329999999995,0.221,0.319,PG+ELG,7021723
247,342.77721,-33.04329,0.321,0.32799999999999996,PG+ELG,7028850
248,346.47717,-32.81103,0.634,0.188,PG+ELG,7035191
249,342.57587,-31.90962,0.38799999999999996,0.425,PG+ELG,7056621
250,342.12237000000005,-31.71619,0.24,0.243,PG+ELG,7061088
251,340.21004,-30.825309999999998,0.287,0.217,PG+ELG,7081863
252,343.978,-30.75893,0.359,0.722,PG+ELG,7083868
253,131.46746000000002,1.19884,0.146,0.716,PG+PG,300979
254,136.46358,1.3116700000000001,0.47,0.6459999999999999,PG+PG,302123
255,132.24292,2.24817,0.209,0.39299999999999996,PG+PG,386427
256,137.19829,2.40849,0.281,0.5489999999999999,PG+PG,387615
257,134.097,2.4963599999999997,0.198,0.615,PG+PG,417922
258,129.15721000000002,2.86991,0.511,0.282,PG+PG,425637
259,132.67583,0.34792,0.191,0.33299999999999996,PG+PG,599770
260,132.66296,0.6361100000000001,0.37799999999999995,0.23399999999999999,PG+PG,622326
261,131.41271,-1.6621700000000001,0.258,0.8690000000000001,PG+PG,3579777
262,138.55021000000002,-1.6866299999999999,0.259,0.868,PG+PG,3890035
263,178.62517,-0.72424,0.312,0.22699999999999998,PG+PG,39870
264,181.63046,1.82378,0.295,0.292,PG+PG,289265
